timestamp,cpu_percent,mem_usage,mem_percent,net_io,block_io,pids
2026-03-15T23:21:16.3376077+02:00,2.80%,159.7MiB / 3.672GiB,4.25%,160MB / 81.1MB,90.1kB / 0B,21
2026-03-15T23:21:18.9445518+02:00,1.56%,159.6MiB / 3.672GiB,4.25%,160MB / 81.1MB,90.1kB / 0B,21
2026-03-15T23:21:22.5600783+02:00,20.79%,160.1MiB / 3.672GiB,4.26%,160MB / 81.1MB,90.1kB / 0B,21
2026-03-15T23:21:25.7843718+02:00,101.95%,160.1MiB / 3.672GiB,4.26%,161MB / 81.3MB,90.1kB / 0B,22
2026-03-15T23:21:28.0062328+02:00,103.17%,160.3MiB / 3.672GiB,4.26%,161MB / 81.4MB,90.1kB / 0B,21
2026-03-15T23:21:31.2228268+02:00,103.50%,159.9MiB / 3.672GiB,4.25%,161MB / 81.6MB,90.1kB / 0B,21
2026-03-15T23:21:34.3304772+02:00,100.89%,160.7MiB / 3.672GiB,4.27%,162MB / 81.9MB,90.1kB / 0B,22
2026-03-15T23:21:36.5264104+02:00,102.02%,160.5MiB / 3.672GiB,4.27%,162MB / 82.1MB,90.1kB / 0B,21
2026-03-15T23:21:38.6972627+02:00,105.52%,160MiB / 3.672GiB,4.26%,162MB / 82.3MB,90.1kB / 0B,22
2026-03-15T23:21:41.9900662+02:00,98.53%,159.6MiB / 3.672GiB,4.25%,163MB / 82.5MB,90.1kB / 0B,21
2026-03-15T23:21:44.1933512+02:00,0.49%,159.6MiB / 3.672GiB,4.25%,163MB / 82.5MB,90.1kB / 0B,21
2026-03-15T23:21:46.3383009+02:00,0.48%,159.6MiB / 3.672GiB,4.25%,163MB / 82.5MB,90.1kB / 0B,21
2026-03-15T23:21:48.5235272+02:00,0.32%,159.6MiB / 3.672GiB,4.25%,163MB / 82.5MB,90.1kB / 0B,21
2026-03-15T23:21:51.7054665+02:00,0.87%,159.6MiB / 3.672GiB,4.25%,163MB / 82.5MB,90.1kB / 0B,21
2026-03-15T23:21:53.8725225+02:00,0.61%,159.6MiB / 3.672GiB,4.25%,163MB / 82.5MB,90.1kB / 0B,21
