timestamp,cpu_percent,mem_usage,mem_percent,net_io,block_io,pids
2026-03-15T23:10:43.3798850+02:00,0.98%,159.6MiB / 3.672GiB,4.25%,93.4MB / 48.4MB,90.1kB / 0B,21
2026-03-15T23:10:45.5765875+02:00,54.00%,160.5MiB / 3.672GiB,4.27%,93.5MB / 48.5MB,90.1kB / 0B,22
2026-03-15T23:10:47.7361757+02:00,98.67%,160.5MiB / 3.672GiB,4.27%,93.9MB / 48.7MB,90.1kB / 0B,22
2026-03-15T23:10:50.9721944+02:00,101.22%,159.9MiB / 3.672GiB,4.25%,94.4MB / 49MB,90.1kB / 0B,22
2026-03-15T23:10:54.0677787+02:00,102.78%,160.7MiB / 3.672GiB,4.27%,95.1MB / 49.4MB,90.1kB / 0B,22
2026-03-15T23:10:56.1926431+02:00,103.17%,160.1MiB / 3.672GiB,4.26%,95.9MB / 49.9MB,90.1kB / 0B,22
2026-03-15T23:10:58.2939373+02:00,101.39%,159.9MiB / 3.672GiB,4.25%,96.7MB / 50.3MB,90.1kB / 0B,22
2026-03-15T23:11:01.4448100+02:00,100.95%,160.8MiB / 3.672GiB,4.28%,97.8MB / 51MB,90.1kB / 0B,21
2026-03-15T23:11:03.5710736+02:00,102.24%,160.5MiB / 3.672GiB,4.27%,98.5MB / 51.4MB,90.1kB / 0B,21
2026-03-15T23:11:05.6613315+02:00,101.38%,160.2MiB / 3.672GiB,4.26%,99.6MB / 52MB,90.1kB / 0B,22
2026-03-15T23:11:07.7693822+02:00,104.25%,160MiB / 3.672GiB,4.26%,101MB / 52.7MB,90.1kB / 0B,22
2026-03-15T23:11:10.9321657+02:00,105.68%,160MiB / 3.672GiB,4.25%,102MB / 53.2MB,90.1kB / 0B,22
2026-03-15T23:11:13.0912558+02:00,104.87%,160MiB / 3.672GiB,4.25%,103MB / 53.6MB,90.1kB / 0B,22
2026-03-15T23:11:15.2094342+02:00,103.80%,160MiB / 3.672GiB,4.26%,104MB / 54.3MB,90.1kB / 0B,22
2026-03-15T23:11:17.3323902+02:00,104.95%,160MiB / 3.672GiB,4.26%,106MB / 54.8MB,90.1kB / 0B,22
2026-03-15T23:11:20.5308535+02:00,103.60%,160MiB / 3.672GiB,4.26%,107MB / 55.5MB,90.1kB / 0B,22
2026-03-15T23:11:23.6573256+02:00,103.88%,160.1MiB / 3.672GiB,4.26%,109MB / 56.4MB,90.1kB / 0B,21
2026-03-15T23:11:25.7667921+02:00,104.51%,160.2MiB / 3.672GiB,4.26%,111MB / 57.1MB,90.1kB / 0B,22
2026-03-15T23:11:27.8544133+02:00,102.98%,160.1MiB / 3.672GiB,4.26%,112MB / 57.8MB,90.1kB / 0B,22
2026-03-15T23:11:30.9974431+02:00,103.38%,160MiB / 3.672GiB,4.25%,114MB / 58.6MB,90.1kB / 0B,22
2026-03-15T23:11:33.1035323+02:00,103.05%,160.1MiB / 3.672GiB,4.26%,115MB / 59.2MB,90.1kB / 0B,22
2026-03-15T23:11:35.2102102+02:00,103.96%,160.2MiB / 3.672GiB,4.26%,117MB / 59.9MB,90.1kB / 0B,22
2026-03-15T23:11:37.3182253+02:00,105.23%,160.3MiB / 3.672GiB,4.26%,118MB / 60.6MB,90.1kB / 0B,22
2026-03-15T23:11:40.5295617+02:00,101.34%,160MiB / 3.672GiB,4.26%,120MB / 61.4MB,90.1kB / 0B,22
2026-03-15T23:11:43.6468707+02:00,104.16%,159.9MiB / 3.672GiB,4.25%,122MB / 62.4MB,90.1kB / 0B,21
2026-03-15T23:11:45.8049424+02:00,1.40%,159.7MiB / 3.672GiB,4.25%,123MB / 62.7MB,90.1kB / 0B,21
2026-03-15T23:11:47.9727513+02:00,1.04%,159.6MiB / 3.672GiB,4.25%,123MB / 62.7MB,90.1kB / 0B,21
2026-03-15T23:11:51.1343138+02:00,0.89%,159.6MiB / 3.672GiB,4.25%,123MB / 62.7MB,90.1kB / 0B,21
2026-03-15T23:11:53.2510822+02:00,0.96%,159.7MiB / 3.672GiB,4.25%,123MB / 62.7MB,90.1kB / 0B,21
2026-03-15T23:11:55.3395900+02:00,0.61%,159.7MiB / 3.672GiB,4.25%,123MB / 62.7MB,90.1kB / 0B,21
2026-03-15T23:11:57.4411478+02:00,0.52%,159.7MiB / 3.672GiB,4.25%,123MB / 62.7MB,90.1kB / 0B,21
2026-03-15T23:12:00.5520862+02:00,0.16%,159.6MiB / 3.672GiB,4.25%,123MB / 62.7MB,90.1kB / 0B,21
2026-03-15T23:12:03.5796694+02:00,0.55%,159.7MiB / 3.672GiB,4.25%,123MB / 62.7MB,90.1kB / 0B,21
