timestamp,cpu_percent,mem_usage,mem_percent,net_io,block_io,pids
2026-03-15T23:06:14.9355909+02:00,0.96%,152.3MiB / 3.672GiB,4.05%,37.6kB / 129kB,16.4kB / 0B,21
2026-03-15T23:06:18.0671033+02:00,14.06%,152.7MiB / 3.672GiB,4.06%,53.9kB / 138kB,90.1kB / 0B,22
2026-03-15T23:06:20.1776951+02:00,82.04%,153.4MiB / 3.672GiB,4.08%,497kB / 387kB,90.1kB / 0B,22
2026-03-15T23:06:23.3264914+02:00,102.13%,155.5MiB / 3.672GiB,4.14%,1.52MB / 967kB,90.1kB / 0B,22
2026-03-15T23:06:26.4245481+02:00,101.29%,156.1MiB / 3.672GiB,4.15%,2.68MB / 1.62MB,90.1kB / 0B,22
2026-03-15T23:06:28.5377484+02:00,103.77%,156.6MiB / 3.672GiB,4.16%,3.43MB / 2.05MB,90.1kB / 0B,22
2026-03-15T23:06:30.6653913+02:00,101.65%,156.7MiB / 3.672GiB,4.17%,3.98MB / 2.38MB,90.1kB / 0B,22
2026-03-15T23:06:33.8654233+02:00,103.03%,156MiB / 3.672GiB,4.15%,4.7MB / 2.84MB,90.1kB / 0B,21
2026-03-15T23:06:37.0138108+02:00,102.31%,158.2MiB / 3.672GiB,4.21%,5.22MB / 3.18MB,90.1kB / 0B,22
2026-03-15T23:06:39.1901399+02:00,90.19%,159.4MiB / 3.672GiB,4.24%,5.6MB / 3.43MB,90.1kB / 0B,21
2026-03-15T23:06:42.0086837+02:00,110.15%,158.9MiB / 3.672GiB,4.23%,5.91MB / 3.62MB,90.1kB / 0B,22
2026-03-15T23:06:52.9085705+02:00,102.53%,159.6MiB / 3.672GiB,4.24%,6.22MB / 3.83MB,90.1kB / 0B,22
2026-03-15T23:06:55.0557593+02:00,104.78%,160.3MiB / 3.672GiB,4.26%,7.21MB / 4.36MB,90.1kB / 0B,22
2026-03-15T23:06:57.1690655+02:00,100.73%,160.1MiB / 3.672GiB,4.26%,8.12MB / 4.85MB,90.1kB / 0B,21
2026-03-15T23:07:00.3565640+02:00,101.44%,160.1MiB / 3.672GiB,4.26%,9.37MB / 5.52MB,90.1kB / 0B,21
2026-03-15T23:07:03.4996463+02:00,103.65%,159.9MiB / 3.672GiB,4.25%,10.5MB / 6.15MB,90.1kB / 0B,21
2026-03-15T23:07:05.6356382+02:00,102.71%,160.2MiB / 3.672GiB,4.26%,11.8MB / 6.85MB,90.1kB / 0B,22
2026-03-15T23:07:07.7499144+02:00,96.01%,160.1MiB / 3.672GiB,4.26%,12.6MB / 7.25MB,90.1kB / 0B,21
2026-03-15T23:07:11.5358239+02:00,105.88%,160.1MiB / 3.672GiB,4.26%,13.6MB / 7.76MB,90.1kB / 0B,22
2026-03-15T23:07:13.6551219+02:00,105.17%,160.5MiB / 3.672GiB,4.27%,15MB / 8.46MB,90.1kB / 0B,22
2026-03-15T23:07:15.7753972+02:00,105.47%,160MiB / 3.672GiB,4.26%,16.7MB / 9.25MB,90.1kB / 0B,22
2026-03-15T23:07:17.8859659+02:00,105.79%,160.1MiB / 3.672GiB,4.26%,18.2MB / 9.97MB,90.1kB / 0B,22
2026-03-15T23:07:21.0198442+02:00,102.14%,160.5MiB / 3.672GiB,4.27%,19.5MB / 10.8MB,90.1kB / 0B,22
2026-03-15T23:07:23.1148697+02:00,101.43%,160.3MiB / 3.672GiB,4.26%,20.4MB / 11.4MB,90.1kB / 0B,21
2026-03-15T23:07:25.2296333+02:00,102.23%,160.6MiB / 3.672GiB,4.27%,21.5MB / 12.1MB,90.1kB / 0B,21
2026-03-15T23:07:27.3273983+02:00,99.44%,160.3MiB / 3.672GiB,4.26%,22.6MB / 12.8MB,90.1kB / 0B,22
2026-03-15T23:07:30.4318922+02:00,101.63%,160MiB / 3.672GiB,4.25%,23.9MB / 13.6MB,90.1kB / 0B,22
2026-03-15T23:07:32.5328389+02:00,103.26%,160.2MiB / 3.672GiB,4.26%,24.9MB / 14.3MB,90.1kB / 0B,22
2026-03-15T23:07:34.6227779+02:00,103.89%,160.2MiB / 3.672GiB,4.26%,26.6MB / 15MB,90.1kB / 0B,22
2026-03-15T23:07:36.7174339+02:00,104.89%,160.1MiB / 3.672GiB,4.26%,28.3MB / 15.8MB,90.1kB / 0B,22
2026-03-15T23:07:38.8515106+02:00,103.89%,160.1MiB / 3.672GiB,4.26%,29.7MB / 16.5MB,90.1kB / 0B,22
2026-03-15T23:07:42.0607761+02:00,104.15%,159.9MiB / 3.672GiB,4.25%,31.4MB / 17.4MB,90.1kB / 0B,22
2026-03-15T23:07:44.2059429+02:00,104.19%,160.2MiB / 3.672GiB,4.26%,32.7MB / 18MB,90.1kB / 0B,22
2026-03-15T23:07:46.3222579+02:00,104.86%,160MiB / 3.672GiB,4.25%,34.2MB / 18.8MB,90.1kB / 0B,22
2026-03-15T23:07:48.4346873+02:00,105.70%,160.1MiB / 3.672GiB,4.26%,35.6MB / 19.5MB,90.1kB / 0B,22
2026-03-15T23:07:51.6312980+02:00,104.24%,160.3MiB / 3.672GiB,4.26%,37.3MB / 20.3MB,90.1kB / 0B,22
2026-03-15T23:07:53.7532185+02:00,104.95%,160MiB / 3.672GiB,4.26%,38.8MB / 21MB,90.1kB / 0B,21
2026-03-15T23:07:55.8504323+02:00,101.69%,160.4MiB / 3.672GiB,4.27%,40.1MB / 21.7MB,90.1kB / 0B,22
2026-03-15T23:07:57.9649051+02:00,100.91%,160.3MiB / 3.672GiB,4.26%,41.2MB / 22.3MB,90.1kB / 0B,22
2026-03-15T23:08:01.1559989+02:00,103.60%,159.9MiB / 3.672GiB,4.25%,43MB / 23.2MB,90.1kB / 0B,21
2026-03-15T23:08:03.2654715+02:00,103.45%,160.2MiB / 3.672GiB,4.26%,44.5MB / 23.9MB,90.1kB / 0B,22
2026-03-15T23:08:05.3694115+02:00,103.92%,160.3MiB / 3.672GiB,4.26%,46.2MB / 24.7MB,90.1kB / 0B,22
2026-03-15T23:08:07.4675426+02:00,105.43%,160MiB / 3.672GiB,4.26%,47.9MB / 25.5MB,90.1kB / 0B,22
2026-03-15T23:08:10.6019385+02:00,103.30%,160MiB / 3.672GiB,4.25%,49.8MB / 26.5MB,90.1kB / 0B,22
2026-03-15T23:08:12.7324058+02:00,104.77%,160.3MiB / 3.672GiB,4.26%,51.2MB / 27.1MB,90.1kB / 0B,22
2026-03-15T23:08:14.8401228+02:00,103.86%,160.2MiB / 3.672GiB,4.26%,52.9MB / 27.9MB,90.1kB / 0B,21
2026-03-15T23:08:16.9577526+02:00,104.72%,160.2MiB / 3.672GiB,4.26%,54.6MB / 28.7MB,90.1kB / 0B,22
2026-03-15T23:08:20.1716149+02:00,105.13%,159.9MiB / 3.672GiB,4.25%,56MB / 29.5MB,90.1kB / 0B,21
2026-03-15T23:08:23.2971628+02:00,102.50%,160.3MiB / 3.672GiB,4.26%,57.5MB / 30.5MB,90.1kB / 0B,22
