timestamp,cpu_percent,mem_usage,mem_percent,net_io,block_io,pids
2026-03-15T23:17:24.9564902+02:00,1.14%,159.7MiB / 3.672GiB,4.25%,124MB / 63.5MB,90.1kB / 0B,21
2026-03-15T23:17:27.2421884+02:00,37.41%,160.4MiB / 3.672GiB,4.27%,124MB / 63.5MB,90.1kB / 0B,22
2026-03-15T23:17:29.4126543+02:00,93.44%,159.9MiB / 3.672GiB,4.25%,124MB / 63.8MB,90.1kB / 0B,21
2026-03-15T23:17:32.5296915+02:00,100.46%,160.3MiB / 3.672GiB,4.26%,126MB / 64.6MB,90.1kB / 0B,21
2026-03-15T23:17:34.6118481+02:00,99.98%,160.2MiB / 3.672GiB,4.26%,127MB / 65.1MB,90.1kB / 0B,21
2026-03-15T23:17:36.7075681+02:00,102.65%,160.4MiB / 3.672GiB,4.27%,127MB / 65.6MB,90.1kB / 0B,22
2026-03-15T23:17:38.8260900+02:00,102.93%,159.9MiB / 3.672GiB,4.25%,128MB / 65.9MB,90.1kB / 0B,21
2026-03-15T23:17:42.0216917+02:00,102.30%,160MiB / 3.672GiB,4.26%,129MB / 66.5MB,90.1kB / 0B,22
2026-03-15T23:17:44.1621849+02:00,103.36%,160.2MiB / 3.672GiB,4.26%,130MB / 67MB,90.1kB / 0B,22
2026-03-15T23:17:46.2726488+02:00,105.37%,159.9MiB / 3.672GiB,4.25%,131MB / 67.6MB,90.1kB / 0B,22
2026-03-15T23:17:48.3917827+02:00,105.68%,160MiB / 3.672GiB,4.26%,132MB / 68.2MB,90.1kB / 0B,21
2026-03-15T23:17:51.6137013+02:00,105.34%,160MiB / 3.672GiB,4.25%,134MB / 68.9MB,90.1kB / 0B,22
2026-03-15T23:17:53.7437385+02:00,105.53%,159.9MiB / 3.672GiB,4.25%,135MB / 69.6MB,90.1kB / 0B,22
2026-03-15T23:17:55.8468575+02:00,103.73%,160.2MiB / 3.672GiB,4.26%,137MB / 70.4MB,90.1kB / 0B,22
2026-03-15T23:17:57.9588157+02:00,103.72%,160.2MiB / 3.672GiB,4.26%,139MB / 71.2MB,90.1kB / 0B,22
2026-03-15T23:18:01.0481915+02:00,102.81%,160.5MiB / 3.672GiB,4.27%,141MB / 72.1MB,90.1kB / 0B,22
2026-03-15T23:18:03.1685426+02:00,103.08%,160.2MiB / 3.672GiB,4.26%,142MB / 72.8MB,90.1kB / 0B,21
2026-03-15T23:18:05.2529278+02:00,103.11%,160.1MiB / 3.672GiB,4.26%,144MB / 73.6MB,90.1kB / 0B,22
2026-03-15T23:18:07.3506020+02:00,103.10%,160.3MiB / 3.672GiB,4.26%,146MB / 74.4MB,90.1kB / 0B,22
2026-03-15T23:18:09.5607226+02:00,102.62%,160MiB / 3.672GiB,4.26%,147MB / 75MB,90.1kB / 0B,22
2026-03-15T23:18:12.7415784+02:00,105.04%,159.9MiB / 3.672GiB,4.25%,150MB / 76MB,90.1kB / 0B,22
2026-03-15T23:18:14.8302902+02:00,102.97%,160.6MiB / 3.672GiB,4.27%,151MB / 76.8MB,90.1kB / 0B,22
2026-03-15T23:18:16.9332296+02:00,104.00%,160.1MiB / 3.672GiB,4.26%,153MB / 77.6MB,90.1kB / 0B,22
2026-03-15T23:18:19.0401938+02:00,100.92%,160MiB / 3.672GiB,4.26%,155MB / 78.3MB,90.1kB / 0B,22
2026-03-15T23:18:22.2183569+02:00,105.53%,160.3MiB / 3.672GiB,4.26%,157MB / 79.3MB,90.1kB / 0B,22
2026-03-15T23:18:24.3301551+02:00,103.50%,159.9MiB / 3.672GiB,4.25%,158MB / 80.1MB,90.1kB / 0B,22
2026-03-15T23:18:26.4368168+02:00,104.54%,159.9MiB / 3.672GiB,4.25%,160MB / 80.9MB,90.1kB / 0B,22
2026-03-15T23:18:28.5467003+02:00,1.46%,159.6MiB / 3.672GiB,4.25%,160MB / 80.9MB,90.1kB / 0B,21
2026-03-15T23:18:31.7188446+02:00,0.24%,159.6MiB / 3.672GiB,4.25%,160MB / 80.9MB,90.1kB / 0B,21
2026-03-15T23:18:33.8089579+02:00,0.76%,159.6MiB / 3.672GiB,4.25%,160MB / 80.9MB,90.1kB / 0B,21
2026-03-15T23:18:35.8926799+02:00,0.19%,159.6MiB / 3.672GiB,4.25%,160MB / 80.9MB,90.1kB / 0B,21
2026-03-15T23:18:37.9821339+02:00,0.19%,159.6MiB / 3.672GiB,4.25%,160MB / 80.9MB,90.1kB / 0B,21
2026-03-15T23:18:41.1345304+02:00,0.68%,159.7MiB / 3.672GiB,4.25%,160MB / 80.9MB,90.1kB / 0B,21
2026-03-15T23:18:43.2376375+02:00,0.76%,159.7MiB / 3.672GiB,4.25%,160MB / 80.9MB,90.1kB / 0B,21
