timestamp,cpu_percent,mem_usage,mem_percent,net_io,block_io,pids
2026-03-15T22:18:57.5238901+02:00,1.33%,163.5MiB / 3.672GiB,4.35%,240kB / 1.03MB,13.4MB / 0B,21
2026-03-15T22:18:59.8826769+02:00,1.08%,163.5MiB / 3.672GiB,4.35%,241kB / 1.03MB,13.4MB / 0B,21
2026-03-15T22:19:03.0998815+02:00,0.71%,163.5MiB / 3.672GiB,4.35%,241kB / 1.04MB,13.4MB / 0B,21
2026-03-15T22:19:06.3655932+02:00,102.37%,165.9MiB / 3.672GiB,4.41%,349kB / 1.08MB,13.9MB / 0B,22
2026-03-15T22:19:08.4976216+02:00,101.02%,165.8MiB / 3.672GiB,4.41%,385kB / 1.09MB,13.9MB / 0B,22
2026-03-15T22:19:10.6454753+02:00,104.54%,165.8MiB / 3.672GiB,4.41%,388kB / 1.09MB,13.9MB / 0B,22
2026-03-15T22:19:13.9093906+02:00,109.70%,166.8MiB / 3.672GiB,4.43%,640kB / 1.23MB,13.9MB / 0B,22
2026-03-15T22:19:17.1779111+02:00,106.84%,166.3MiB / 3.672GiB,4.42%,1.21MB / 1.55MB,13.9MB / 0B,21
2026-03-15T22:19:19.3774713+02:00,105.46%,167MiB / 3.672GiB,4.44%,1.71MB / 1.83MB,13.9MB / 0B,22
2026-03-15T22:19:21.6245992+02:00,107.36%,166.7MiB / 3.672GiB,4.43%,2.1MB / 2.05MB,13.9MB / 0B,22
2026-03-15T22:19:25.0302750+02:00,105.68%,167.1MiB / 3.672GiB,4.44%,2.74MB / 2.41MB,13.9MB / 0B,22
2026-03-15T22:19:28.2603636+02:00,106.08%,167.5MiB / 3.672GiB,4.46%,3.5MB / 2.85MB,13.9MB / 0B,22
2026-03-15T22:19:30.4747845+02:00,105.98%,167.6MiB / 3.672GiB,4.46%,3.99MB / 3.13MB,13.9MB / 0B,22
2026-03-15T22:19:33.8143552+02:00,108.30%,167.6MiB / 3.672GiB,4.46%,4.6MB / 3.47MB,13.9MB / 0B,21
2026-03-15T22:19:36.9620356+02:00,107.49%,167.8MiB / 3.672GiB,4.46%,5.09MB / 3.74MB,13.9MB / 0B,21
2026-03-15T22:19:39.2108095+02:00,106.66%,167.7MiB / 3.672GiB,4.46%,5.48MB / 3.96MB,13.9MB / 0B,22
2026-03-15T22:19:41.6787704+02:00,116.61%,167.9MiB / 3.672GiB,4.47%,5.68MB / 4.07MB,13.9MB / 0B,22
2026-03-15T22:19:44.1516644+02:00,111.06%,167.8MiB / 3.672GiB,4.46%,5.91MB / 4.21MB,13.9MB / 0B,22
2026-03-15T22:19:47.6728869+02:00,125.70%,168.1MiB / 3.672GiB,4.47%,6.15MB / 4.34MB,13.9MB / 0B,22
2026-03-15T22:19:50.7323271+02:00,106.95%,167.7MiB / 3.672GiB,4.46%,6.28MB / 4.41MB,13.9MB / 0B,22
2026-03-15T22:19:55.2152814+02:00,126.34%,168MiB / 3.672GiB,4.47%,6.54MB / 4.54MB,13.9MB / 0B,22
2026-03-15T22:19:59.0606891+02:00,121.13%,167.7MiB / 3.672GiB,4.46%,6.76MB / 4.67MB,13.9MB / 0B,21
2026-03-15T22:20:02.2467793+02:00,114.61%,167.9MiB / 3.672GiB,4.47%,6.94MB / 4.76MB,13.9MB / 0B,22
2026-03-15T22:20:05.0517754+02:00,107.07%,167.9MiB / 3.672GiB,4.47%,7.08MB / 4.84MB,13.9MB / 0B,21
2026-03-15T22:20:08.2106776+02:00,117.66%,168.5MiB / 3.672GiB,4.48%,7.19MB / 4.88MB,13.9MB / 0B,21
2026-03-15T22:20:11.7247081+02:00,86.13%,168.4MiB / 3.672GiB,4.48%,7.34MB / 4.98MB,13.9MB / 0B,22
2026-03-15T22:20:15.1488110+02:00,131.32%,168.7MiB / 3.672GiB,4.49%,7.56MB / 5.08MB,13.9MB / 0B,21
2026-03-15T22:20:17.9743466+02:00,139.11%,168.2MiB / 3.672GiB,4.47%,7.72MB / 5.17MB,13.9MB / 0B,21
2026-03-15T22:20:21.3019389+02:00,122.05%,168.4MiB / 3.672GiB,4.48%,7.96MB / 5.29MB,13.9MB / 0B,22
2026-03-15T22:20:24.6432719+02:00,106.73%,168.4MiB / 3.672GiB,4.48%,8.32MB / 5.5MB,13.9MB / 0B,22
2026-03-15T22:20:26.9723020+02:00,108.45%,168.7MiB / 3.672GiB,4.49%,8.58MB / 5.64MB,13.9MB / 0B,22
2026-03-15T22:20:29.2995570+02:00,108.22%,168.3MiB / 3.672GiB,4.47%,8.84MB / 5.8MB,13.9MB / 0B,21
2026-03-15T22:20:32.6655393+02:00,106.44%,168.7MiB / 3.672GiB,4.49%,9.32MB / 6.07MB,13.9MB / 0B,22
2026-03-15T22:20:34.8268494+02:00,84.37%,168.5MiB / 3.672GiB,4.48%,9.61MB / 6.24MB,13.9MB / 0B,21
2026-03-15T22:20:36.9669792+02:00,113.86%,168.3MiB / 3.672GiB,4.48%,9.85MB / 6.37MB,13.9MB / 0B,21
2026-03-15T22:20:40.2911741+02:00,142.76%,169.1MiB / 3.672GiB,4.50%,10.3MB / 6.65MB,13.9MB / 0B,22
2026-03-15T22:20:43.6903677+02:00,91.90%,168.5MiB / 3.672GiB,4.48%,10.9MB / 6.97MB,13.9MB / 0B,22
2026-03-15T22:20:49.0935013+02:00,257.83%,168.9MiB / 3.672GiB,4.49%,11.3MB / 7.19MB,13.9MB / 0B,21
2026-03-15T22:20:52.2988367+02:00,107.64%,168.4MiB / 3.672GiB,4.48%,12.2MB / 7.67MB,13.9MB / 0B,22
2026-03-15T22:20:54.5290268+02:00,105.98%,168.9MiB / 3.672GiB,4.49%,12.6MB / 7.91MB,13.9MB / 0B,22
2026-03-15T22:20:56.8005948+02:00,119.75%,168.7MiB / 3.672GiB,4.49%,13.2MB / 8.21MB,13.9MB / 0B,22
2026-03-15T22:20:59.2126197+02:00,106.90%,168.7MiB / 3.672GiB,4.49%,13.5MB / 8.44MB,13.9MB / 0B,21
2026-03-15T22:21:04.0466618+02:00,103.35%,168.4MiB / 3.672GiB,4.48%,14MB / 8.7MB,13.9MB / 0B,22
2026-03-15T22:21:06.2270871+02:00,102.84%,168.7MiB / 3.672GiB,4.49%,14.4MB / 8.86MB,13.9MB / 0B,22
