timestamp,cpu_percent,mem_usage,mem_percent,net_io,block_io,pids
2026-03-15T22:03:57.4585829+02:00,1.12%,163.4MiB / 3.672GiB,4.35%,75.8kB / 287kB,13.4MB / 0B,21
2026-03-15T22:03:59.7193436+02:00,2.48%,163.4MiB / 3.672GiB,4.35%,76.3kB / 287kB,13.4MB / 0B,21
2026-03-15T22:04:02.8386433+02:00,0.21%,163.4MiB / 3.672GiB,4.35%,76.6kB / 288kB,13.4MB / 0B,21
2026-03-15T22:04:06.0131879+02:00,0.84%,163.4MiB / 3.672GiB,4.35%,77.8kB / 297kB,13.4MB / 0B,21
2026-03-15T22:04:08.1556212+02:00,0.30%,163.4MiB / 3.672GiB,4.35%,78.1kB / 298kB,13.4MB / 0B,21
2026-03-15T22:04:11.3627612+02:00,0.87%,163.4MiB / 3.672GiB,4.35%,78.6kB / 299kB,13.4MB / 0B,21
2026-03-15T22:04:14.5967171+02:00,0.32%,163.4MiB / 3.672GiB,4.35%,78.9kB / 299kB,13.4MB / 0B,21
2026-03-15T22:04:17.7273629+02:00,2.47%,163.4MiB / 3.672GiB,4.35%,79.4kB / 301kB,13.4MB / 0B,21
2026-03-15T22:04:19.8862645+02:00,1.47%,163.4MiB / 3.672GiB,4.35%,80.4kB / 309kB,13.4MB / 0B,21
2026-03-15T22:04:23.0275038+02:00,0.34%,163.4MiB / 3.672GiB,4.35%,80.6kB / 310kB,13.4MB / 0B,21
2026-03-15T22:04:26.2539087+02:00,1.19%,163.4MiB / 3.672GiB,4.35%,81.2kB / 311kB,13.4MB / 0B,21
2026-03-15T22:04:28.3965154+02:00,0.89%,163.4MiB / 3.672GiB,4.35%,81.5kB / 312kB,13.4MB / 0B,21
2026-03-15T22:04:31.5595867+02:00,0.41%,163.4MiB / 3.672GiB,4.35%,81.7kB / 312kB,13.4MB / 0B,21
2026-03-15T22:04:34.8260441+02:00,4.03%,163.4MiB / 3.672GiB,4.35%,82.9kB / 322kB,13.4MB / 0B,21
2026-03-15T22:04:36.9915842+02:00,0.28%,163.4MiB / 3.672GiB,4.35%,83.2kB / 322kB,13.4MB / 0B,21
2026-03-15T22:04:39.1281221+02:00,0.41%,163.4MiB / 3.672GiB,4.35%,83.5kB / 323kB,13.4MB / 0B,21
2026-03-15T22:04:42.3186089+02:00,1.50%,163.4MiB / 3.672GiB,4.35%,84kB / 324kB,13.4MB / 0B,21
2026-03-15T22:04:45.5901333+02:00,0.20%,163.4MiB / 3.672GiB,4.35%,84.3kB / 324kB,13.4MB / 0B,21
2026-03-15T22:04:47.7434344+02:00,0.26%,163.4MiB / 3.672GiB,4.35%,84.6kB / 325kB,13.4MB / 0B,21
2026-03-15T22:04:49.9120430+02:00,1.53%,163.4MiB / 3.672GiB,4.35%,85.5kB / 334kB,13.4MB / 0B,21
2026-03-15T22:04:53.0724469+02:00,1.11%,163.4MiB / 3.672GiB,4.35%,86kB / 335kB,13.4MB / 0B,21
2026-03-15T22:04:56.2374514+02:00,0.85%,163.4MiB / 3.672GiB,4.35%,86.6kB / 336kB,13.4MB / 0B,21
2026-03-15T22:04:58.3872152+02:00,0.97%,163.4MiB / 3.672GiB,4.35%,86.9kB / 336kB,13.4MB / 0B,21
2026-03-15T22:05:01.6028176+02:00,0.49%,163.4MiB / 3.672GiB,4.35%,87.4kB / 337kB,13.4MB / 0B,21
2026-03-15T22:05:04.9439984+02:00,2.56%,163.4MiB / 3.672GiB,4.35%,88.6kB / 347kB,13.4MB / 0B,21
2026-03-15T22:05:07.1493913+02:00,1.01%,163.4MiB / 3.672GiB,4.35%,88.9kB / 347kB,13.4MB / 0B,21
2026-03-15T22:05:09.3881269+02:00,1.03%,163.4MiB / 3.672GiB,4.35%,89.2kB / 348kB,13.4MB / 0B,21
2026-03-15T22:05:12.5535366+02:00,0.29%,163.4MiB / 3.672GiB,4.35%,89.5kB / 349kB,13.4MB / 0B,21
2026-03-15T22:05:15.7224852+02:00,0.35%,163.4MiB / 3.672GiB,4.35%,90kB / 350kB,13.4MB / 0B,21
2026-03-15T22:05:17.8864951+02:00,0.30%,163.4MiB / 3.672GiB,4.35%,90.2kB / 350kB,13.4MB / 0B,21
2026-03-15T22:05:20.1412024+02:00,3.20%,163.4MiB / 3.672GiB,4.35%,91.2kB / 359kB,13.4MB / 0B,21
2026-03-15T22:05:23.3682185+02:00,1.07%,163.4MiB / 3.672GiB,4.35%,91.7kB / 360kB,13.4MB / 0B,21
